,text,label,pred_label
49,"While (Barack) Obama preaches we are our brothers keeper, his brother and aunt live in real poverty in Kenya.",1, fake
50,"Since Rep. John Boccieris election, Ohio has lost 600,000 jobs and his districts unemployment has doubled.",0, fake.
51,"In 2012, 1 in 4 Wisconsin schools had a subpar score on the Department of Public Instructions recent report cards and are failing the children they serve.",0, fake
52,"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but didnt know why it was cited.",1, fake
53,Homicides against blacks have tripled since Floridas stand your ground law has been in existence.,0, fake.
54,"To give a sense of how families are struggling, a record four out of every 10 school kids in Ohio now qualifies for subsidized lunch.",1, fake.
55,Says the Ohio Consumers Council office employs 74 lawyers and that the funding them is wasteful duplication.,0, fake
56,Ninety six percent of employers in the Granite State are considered small businesses.,1, fake.
57,"Texas population is projected to double in the next 50 years or so, but our basic amount of water will remain about where it is now.",1, fake.
58,Our businesses have created jobs every single month since (Obamacare) became law.,1, fake.
59,"Says opponent Kathie Tovo believes that Austin invests too much in the cops, firefighters and paramedics that protect our families and neighborhoods.",1, fake.
60,Says the number-one source of illegal immigration is people legally coming to the United States on a tourist visa or a student visa and then disappearing into the population and never being heard from again.,0, fake.
61,All travelers -- even babies -- arriving in the U.S. by air must have a passport.,1, fake.
62,Most folks wages havent gone up in over a decade.,1, fake.
63,We already have $23 billion worth of debt.,1, fake.
64,On the president unilaterally authorizing a military attack that does not involve stopping an actual or imminent threat to the nation.,0, fake
65,There have been 30 published polls in this election cycle and Harry Reids been trailing in every single one.,0, fake
66,"Why are Muslim armies so useless against ISIS? ... There are 20,000 or 30,000 (ISIS fighters). The countries surrounding ISIS have armies totaling 5 million people.",1, fake
67,"There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s.",1, fake
68,"The Republican plan for tax cuts is to give each millionaire -- the top 1 percent of income in this country -- $83,347 a year in tax cuts.",1, fake
69,Says John Boehner admits we are not going to be any different than weve been by returning to the same failed economic policies that wrecked our economy.,0, fake
70,We have the lowest percentage of Americans working today of any year since 1977.,1, fake.
71,Wisconsins rainy day fund is 165 times bigger than when we first took office.,1, fake.
72,Weve seen our deficits cut by two-thirds.,1, fake.
73,On choosing a Texas House speaker,0, fake
74,Says Donald Trump saidas recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.,1, fake
75,"Under Gov. Scott Walkers public-school budgets, a student entering kindergarten will not enjoy the same state investment in his or her education as those that came before them until they are graduating from high school.",0, fake.
76,We were told there would never be a case of Ebola in the United States.,0, fake.
77,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",1, fake
78,Rhode Island has taken its federal Medicaid funding and shown it can run the program more cost-effectively than the federal government.,1, fake.
79,"Says Hillary Clintons rejection of efforts to make it easier to vote and harder to cheat not only defies logic, but the will of the majority of Americans.",1, fake
80,Harry Reids plan is basically giving the president a blank check.,0, fake.
81,"As a Congressman, J.D. Hayworth was an avid earmarker who supported such pork as $220,000 to renovate a Maine Blueberry farm and $5.8 million for a Vermont snowmobile trail.",1, fake
82,Says al Qaeda has camps with the drug cartels in Mexico.,0, fake.
83,"As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Irans nuclear program and got Russia and China to support them.",1, fake
84,Four (maybe five) Latinos have served on the Austin City Council.,1, real
85,Says hes signed a pledge not to raise taxes four times.,1, fake
86,Gov. Bill Haslam is making our Economic Development department Sharia compliant by hiring a woman who specializes in Sharia compliance. Thats what her job is.,0, fake
87,"Ive been a cop in Lake County, Michigan, since 1982 thereabout. I conduct federal raids with the DEA and ATF and U.S. Marshals and the FBI and Texas Rangers.",0, real
88,The gap between the very rich and everyone else in America is wider today than at any time since the 1920s.,1, fake.
89,(Jack Kingston) had more earmarks at one time than every member of the Georgia delegation put together.,0, fake.
90,On the success of Cash for Clunkers,0, real
91,Mickey Mouse was registered to vote (in Florida).,0, fake.
92,"In New Jersey, Gov. Christie vetoed legislation to extend early voting.",1, fake.
93,Says Donald Trump has bankrupt four separate businesses.,1, fake.
94,Says a $12.5 million incentive deal she approved for Abbott Laboratories contained strong protections for taxpayers if job creation goals were not met.,0, fake
95,The fastest-growing part of the Pentagons budget are health care expenses.,1, fake.
96,House Bill 2301 never had a public hearing,1, fake
97,We have a governor whos vetoed measures like increasing our minimum wage and restoring the earned income tax cut.,1, fake
98,"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",1, fake
99,Were broke. We dont have any more money.,0, fake.
100,"Says Donald Trump was one of the people who rooted for the housing crisis. He said back in 2006, Gee, I hope it does collapse because then I can go in and buy some and make some money.",1, fake
101,"Twenty-three million Americans suffer from addiction, but only 1 in 10 get treatment.",1, fake.
102,"In 1992, Barack Obama directed ""Project Vote - an arm of ACORN that also encouraged voter registration.""",0, fake
103,Weve got more revenue than we ever have.,0, fake.
104,Wisconsin was the first state to ban public and private sector employment discrimination based on sexual orientation.,1, real.
105,"Says that 500,000 federal workers -- one-fourth of the federal workforce -- make more than $100,000 a year.",1, fake.
106,"Florida has 1,200 golf courses. I think 58 million rounds played a year in Florida. Weve got 44 percent of all travel golf in the country here. 5 million people come here just for golf.",1, real
107,"Frankly, (Hillary Clinton) doesnt do very well with women.",0, fake
108,"If the House of Representatives fails to extend the middle-class tax cuts, 400,000 middle-class Rhode Island families will see their federal income taxes increase.",0, real
109,Barry Smitherman doesnt have enough legal experience to apply for most of the jobs at the attorney generals office.,1, fake.
110,We supported the first new nuclear power plant in three decades.,1, real
111,Our state has no major rivers to produce big hydropower.,1, fake.
112,"Says, Since 1994 when VAWA was first passed, incidents of domestic violence have dropped more than 50 percent.",1, fake.
113,Ninety-four percent of small businesses will face higher taxes under the Democrats plan.,0, fake.
114,The health bill's plan for comparative effectiveness research would be used by the government to ration care.,0, fake.
115,I dont know anything about David Duke.,0, fake
116,A bill to advance the Keystone XL Pipeline is an earmark under House rules.,0, fake.
117,When youre white ... you dont know what its like to be poor.,0, fake.
118,The richest 1 percent of America will get a bigger tax cut through this bill than the family income of the average family here in Central Texas.,1, fake.
119,The African-American community lost half of their wealth as a result of the Wall Street collapse.,1, fake.
120,"If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.",1, fake
121,We know that every 85 visitors create one Florida job.,1, fake.
122,Tourism and retirees are the dominant economic engines in our state.,1, fake.
123,"Obama has asked for $932-million in earmarks, literally $1-million for every day that hes been in Congress.",1, fake
124,Eighty percent of all U.S. communities depend solely on trucks to deliver and supply the products sold in stores or ordered online.,1, fake.
125,Multnomah Countys food action plan clearly plans to disrupt the free market system in terms of food choices making it harder and more expensive for many residents to eat their food of choice.,0, fake
126,Our unemployment rate is now lower than it was before the financial crisis.,1, fake.
127,"Says 600,000 to 700,000 government workers have been laid off in the last year and a half",1, fake
128,There are more words in the IRS code than there are in the Bible.,1, fake.
129,"Says an investigative report concluded Ken Cuccinelli should have been prosecuted for disclosure violations, but Virginias law was too weak.",0, fake.
130,Says Mitch McConnell pushed the Wall Street bailout through the U.S. Senate and called it the Senate at its finest.,1, fake
131,"We spent approximately $20-billion of that money on pork barrel, earmark projects. Maybe if we had done it right, maybe some of that money would have gone to inspect those bridges and other bridges across the country.",1, fake
132,We are coming up on our 40th anniversary of electing a Republican to the United States Senate. 1972 was the last time New Jersey sent a Republican to the United States Senate.,1, fake
133,"(Obama) did accept donations from lobbyists and PACs and he spent money in this campaign from that, through his political action committee.",1, fake
134,"In South Florida, weve had nine inches of sea-level rise since the 1920s.",1, real
135,"Say that under state law, systems development charges can only be spent on capital investment.",1, fake.
136,"The Alternative Minimum Tax was never intended to hit people in middle income, upper middle income. It was meant for people who are rich and evading taxes.",1, fake
137,The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,1, fake.
138,"If you threw a barbecue yesterday for the Memorial weekend, it was 29 percent more expensive than last year because Barack Obamas policies have led to groceries going up 29 percent.",0, fake
139,"Last year, Exxon pocketed nearly $4.7 million every hour.",1, fake
140,Every (personhood) bill Ive ever support has either had language that says were conforming to the constitutional rulings of the Supreme Court or something to that effect.,0, real
141,Says personal-injury trial lawyers have provided over 80 percent of the funding for the Texas Democratic Party for over a decade.,1, fake.
142,"No candidate has run more negative ads in American history than Barack Obama did in 2008, especially in the general.",1, fake.
143,Wisconsin wages are declining at double the rate of other states.,0, fake.
144,75 percent of the (air traffic control) towers the Obama Administration is closing are located in Republican Congressional Districts.,0, fake
145,Immigrants start businesses at a faster rate; they seem to grow those businesses more successfully.,1, real
146,Says the Affordable Care Act has already reduced the number of uninsured in Oregon by 10 percent.,1, fake.
147,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",1, fake.
148,Says Debbie Wasserman Schultz has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups.,1, fake
149,Says a portfolio managed by the Texas General Land Office earned 22 percent last year while the states emergency reserve account experienced a 1 percent gain.,1, fake
150,Lake Erie supports nearly 10 percent of Ohios jobs and generates $750 million in state and local taxes.,1, real
151,"Buono voted 154 times to raise our taxes -- like the sales tax, the income tax, health care taxes, even small business taxes.",1, fake
152,I was able to go and buy an automatic weapon Most people can go out and buy an automatic weapon.,0, fake.
153,"Under David Dewhursts leadership, the Texas Senate passed an expansion of in-state tuition and free health care to illegal immigrants.",0, fake
154,Says Will Rasmussen falsely claimed he had lived in the West Linn district for about a year.,1, fake
155,The budget for the Consumer Financial Protection Bureau is only about 1 percent of the amount banks generate just from late fees and overdraft fees.,1, fake.
156,"Our economy (in Louisiana) has grown 50 percent faster than the national GDP, even since the national recession.",1, fake.
157,"The National Science Foundation awarded $700,000 to fund a climate change musical.",1, fake.
158,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,0, fake.
159,"According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.",1, fake.
160,Says he was exonerated in every single case in 1990s ethics violations charges.,0, fake
161,"Says $1,100 of the tuition paid by every Oregon university student annually goes just to pay the costs of PERS.",1, fake.
162,The IRS doesnt have to prove something against you ... youve got the burden of proof.,1, fake.
163,I dont understand what Republicans are doing against this. It was their idea. John McCain introduced cap and trade legislation three times.,1, fake
164,The fact is voter fraud is rampant.,0, fake.
165,Says Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee.,1, fake.
166,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,1, fake.
167,Says U.S. Rep. Paul Ryans budget proposal eliminates Medicare in 10 years.,0, fake.
168,"Says he has a fiduciary responsibility to his business, his family and his employees to pay no more tax than legally required.",0, fake
169,Those who fail to buy health insurance under Obamacare face the threat of jail time.,0, fake.
170,We had the Democratic Governors Association and the Obama political machine come into a Republican primary to try and rig the election by spending $1 million against me in the last couple of days.,1, fake
171,I was pretty proud of being the only guy on the stage that ever had a job in the private sector.,0, fake
172,"Wisconsin state and local government workers pay $500, $600 or in some cases, $1,000 per year in union dues.",1, fake.
173,"New Jersey has lost over half of our pharmaceutical jobs to states you know, not low-tax states like in the South, but high-tax states like New York.",1, fake.
174,"In 1790, the first Congress, which was packed with framers, required all ship owners to provide medical insurance for seamen; in 1798, Congress also required seamen to buy hospital insurance for themselves. In 1792, Congress enacted a law mandating that all able-bodied citizens obtain a firearm.",1, fake
175,Says a drug test can be performed for just $4 or $5.,1, fake.
176,Says President Barack Obama carried Congressional District 13 by 8.2 points in 2008 and 5.6 points in 2012.,0, fake
177,Says Hillary Clinton said she was under attack (in Bosnia) but the attack turned out to be young girls handing her flowers.,1, fake
178,Says Measure 11 is one of the most significant reasons for decrease in violent crime.,1, fake.
179,Its expressly prohibited by law that you can read and wholly surveil domestic email traffic in the United States.,1, fake.
180,"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""",1, fake
181,The world food demand is going to double sometime between now and 2070.,1, fake.
182,The wives of the 9/11 hijackers knew exactly what was happening and went back to Saudi Arabia two days before the attacks to watch their husbands on television flying the planes.,0, fake.
183,Theres no plan from Senate Democrats or the White House to replace the sequester.,0, fake.
184,"Says of 80,000 people who were denied a firearm in 2012 due to a failed background check, only 44 were prosecuted.",1, fake
185,"China now owns $1.1 trillion of our debt, our trade deficit last year with them was a quarter of a trillion dollars.",1, fake.
186,The cost ofa gas tank fill-up has risen$30 sinceBarack Obama became president.,1, fake.
187,Says Donald Trumps position isto roll back all of the financial regulations passed after the financial crisis.,1, fake.
188,"Weve had 11,000 attempts to amend the Constitution since 1789.",1, fake.
189,This guy didn't even support Ronald Reagan.,1, fake
190,Most voters prefer zombies to the current U.S. Congress.,1, fake.
191,"In Cranston, it costs $5,000 to $6,000 to send out community notifications on just one Level 3 sex offender.",0, fake.
192,Says President Barack Obama has opened up no new trade relationships with other nations.,0, fake.
193,I lowered taxes over the last two years.,1, fake.
194,The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.,0, fake
195,Says the Obama Administration has fulfilled all of Texas requests for fire management assisting grants.,1, fake.
196,"The average person only pays about $1,800 in state taxes which is the lowest of all 50 states.",1, fake.
197,A Scott Rothstein victim says that he was swindled by Charlie Crist.,0, fake
198,Theyve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented.,1, real
199,On support for gay marriage.,0, real
200,Says that the federal gas tax has not been raised since 1993.,1, fake.
201,"Says that in three legislative sessions, his proposals opening pre-kindergarten to all Texas 4-year-olds never got heard or voted out of committee.",1, fake.
202,Theres talk in Congress now about basically confiscating your private 401(k) or IRA plan and rolling it into Social Security to strengthen Social Security.,0, fake.
203,Says Hillary Clinton tripled the number of people with AIDS whose lives are being saved .. and it did not cost you any more money.,1, fake
204,"So that 2005 energy bill was a big step backwards on the path to clean, renewable energy. That's why I voted against it.",0, fake
205,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",1, real
206,$2.4 million of the NIH dollars was spent on origami condoms.,1, fake.
207,AIDS was transmitted to humans because one guy had sex with a monkey and then started having sex with men.,0, fake.
208,"if the Agreement goes into effect, the millions of Mexican citizens who will become eligible for Social Security benefits may have a far stronger claim to benefits and protection against cuts than U.S. citizens!",0, fake.
209,Young veterans have a higher unemployment rate than people who didnt serve.,1, fake.
210,"Texas #2 in nation for new gun purchases, behind California.",0, fake.
211,"Four percent of American citizens are black males, but they are 35 percent of murder victims.",1, fake.
212,"Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance.",1, fake.
213,90 percent of babies with Down syndrome are aborted.,1, fake.
214,"The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical familys incomes barely budged.",1, fake
215,Did you know ObamaCare will cost nearly twice as much as initially expected -- $1.8 TRILLION?,0, fake
216,"The people that went to school with (Barack Obama), they never saw him, they dont know who he is.",0, fake
217,Says a change in law he carried stopped a $100 million tax increase in the Dallas school district.,1, fake.
218,Slavery is still allowable under Wisconsin law as long as its a punishment for a crime.,1, fake.
219,"Even though men comprise 49% of the population, they hold 80% of the lawmaking power in the Legislature (144 of 181 seats).",1, fake
220,We are one of the most expensive [bus] rides in New England.,1, fake
221,"Since 1961 our private economy has produced 66 million private-sector jobs. So whats the jobs score? Republicans 24 million, Democrats 42 (million).",1, fake
222,On assault weapon violence: Ducks have more protection than people in Virginia.,0, fake.
223,The Navy is bringing charges against a Navy officer who shot at the Chattanooga shooter for illegally discharging a firearm on federal property.,0, real
224,President Barack Obama has doubled the size of government since he took office.,0, fake.
225,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,0, fake
226,The first round of stimulus ... it created zero jobs.,0, fake.
227,Says Marilinda Garcia supports $150 billion in new taxes.,0, fake.
228,HIV/AIDS is dramatically on the rise in the U.S. South.,1, fake.
229,"Obamacare is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work.",0, fake
230,Youre supposed to throw away your shoes ifmercury from a broken CFL light bulb gets on them.,0, fake
231,"In Wisconsin, a woman only earns 80 cents for every $1 a man earns.",1, fake.
232,The United Nations has conducted 172 successful peacekeeping missions and negotiations.,1, real
233,States with the most gun laws tend to have the fewest gun deaths.,1, fake.
234,"The city building code violations on my properties only involve exterior issues; within the households, its fine.",0, fake.
235,Says he saw videotape of the people taking the money off the plane to pay ransom to Iran for hostages.,0, fake.
236,"Theres never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.",1, fake
237,Says the proposed fiscal year 2013 budget is still below the level of state spending when I took office.,1, fake.
238,The congressional district for Miami-Dade and Broward counties has a staggering drop-out rate of almost 61 percent.,0, fake.
239,"Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan.",1, fake.
240,About 70 percentof Republicans nationwide ...dont think Donald Trump is the right guy to take on Hillary Clinton in November.,1, fake
241,Says Ted Cruz is a supporter of legalizing people that are in this country illegally and proposed giving them work permits.,0, fake.
242,Turkey is an Arab country.,0, fake.
243,"More than 400 car crashes occur each year on the current, congested Columbia River Bridge.",0, fake.
244,Mitchell International Airport is the the third busiest airport in the world and the number one busiest in the country.,0, fake
245,We have 50 state lobbyists that just lobby the Legislature for money every year.,1, fake
246,Ive either balanced every budget or we turned back a surplus.,0, fake
247,Central Health is the only hospital district in Texas that spends taxpayer dollars on abortions.,1, fake.
248,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",1, fake
249,Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms.,0, fake.
250,Weve cut the deficit by two-thirds.,1, fake.
251,"Weve added, in the last eight years, $4 trillion of debt to the nations obligations.",1, fake
252,There are places in America that are among the most dangerous in the world. You go to places like Oakland. Or Ferguson. The crime numbers are worse. Seriously.,0, fake.
253,"Says opponent Bill Flores helped run a company that laid off over 3,000 workers and paid off executives with millions.",0, fake.
254,Says Texas does not regulate the appearance of some kinds of imitation firearms sold in Texas.,1, fake.
255,"Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.",0, fake
256,Fewer than 10 percent of those in the House are what anyone would classify as wealthy.,0, fake.
257,"My opponent, in 2008, had contributions investigated by the federal government.",0, fake.
258,"Says $800,000 cost of Texas special legislative session would pay for 1.6 million condoms, 90,000 months of the pill or 20 full-time sexual health educators.",1, fake.
259,Salaries for Virginias teachers are below the national average.,1, fake.
260,FACT: Nothing in #Obamacare forces people out of their health plans.,0, fake
261,"For every $1 spent on mitigation, $4 in post-storm cleanup and rebuilding is saved.",1, fake.
262,Federal law prohibits the growing of industrial hemp in the United States.,1, fake.
263,"Some criminals have learned how to spy on Americans, hacking into our home computers and looking out through the video camera attached to the screen.",1, fake.
264,"Recent census data shows that the average American family spends over $13,000 a year for health care coverage.",0, fake.
265,"Youve got each day 10,000 new seniors, baby boomers, becoming eligible for the entitlement programs.",1, fake
266,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,1, fake
267,Providences port is 200 miles closer to Europe than any other Eastern port.,0, fake.
268,"Once our Blueprint for Prosperity is signed into law, we will have delivered $2 billion in tax relief.",1, fake
269,"Tax rates were significantly higher ""in the '40s, the '50s, and the '60s.""",1, fake.
270,"The state of Wisconsin pays plumbers, engineers and other attorneys much, much more than it pays attorneys to represent poor people.",1, fake.
271,"A recent Obama executive order could lead to a number of investigations by Interpol in the United States, potentially aimed at American officials.",0, fake.
272,"Over 32,000 people die from #GunViolence every year. Yet, (The U.S. Centers for Disease Control and Prevention) is banned from researching ways to prevent this.",1, fake
273,The five Taliban detainees being released from Guantanamo in exchange for captured Army Sgt. Bowe Bergdahl are the hardest of the hard-core. These are the highest high-risk people.,1, fake
274,You can look at the propaganda on a lot of the terrorists sites and what Donald Trump saysabout Muslims is used to recruit fighters.,1, fake
275,Teddy Roosevelt first called for (health care) reform nearly a century ago.,1, fake.
276,President Barack Obamas budget threatens national security by proposing an Army of fewer personnel than we had before Pearl Harbor.,0, fake.
277,"The Central Falls fire department is one of the lowest, if not the lowest, paid fire departments in the state and entire region.",1, fake.
278,Says unions call Obamacare bad for workers.,1, fake.
279,Says Chris Christie created this new category where you could get laid off and just be totally denied unemployment benefits forever.,1, fake
280,John McCain said last year he didn't know of a solution to the mortgage crisis.,1, fake.
281,"We have 10,000 baby boomers retiring every day.",1, fake.
282,"A fairly limited number of people, 25 million to 30 million, will be allowed to access a national health insurance exchange.",1, fake
283,I have never voted for a tax increase.,0, fake.
284,Health care is the greatest contribution to spending increases in the state budget.,1, fake.
285,"While Exxon Mobil has 40 pages on its media response strategy, its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long.",1, fake
286,Did you know US population growth is at its lowest since the Great Depression?,1, fake
287,"I have never asked for a single earmark, pork barrel project for my state of Arizona.",0, real
288,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.",1, fake.
289,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,0, fake
290,A member of the redistricting commission proposed in Issue 2 could accept a bribe from somebody and couldnt be removed from this commission.,0, fake.
291,"The gun epidemic is the leading cause of death of young African-American men, more than the next nine causes put together.",1, fake.
292,"Americas gun-related homicide rate would be about the same as Belgiums if you left out California, Illinois, D.C. and New Jersey, places with some of the strictest gun control laws in the U.S.",0, fake.
293,"The most recent Associated Press poll has Nader-Gonzalez at 6 percent, without any national coverage, against McCain and Obama.",1, fake.
294,Im the only candidate for governor whos rolled out any policies so far.,0, fake.
295,"If you make more than $250,000 a year you only really take home about $125,000.",0, fake.
296,Says Donald Trump has the second-highest disapproval ratings of anyone running for president.,0, fake.
297,"Donald Trump rooted for the housing crisis, because he knew he could make money off of it.",1, fake.
298,"If voters agree in November to approve a one-cent sales tax increase, that will give ""Hillsborough County the highest sales tax of all Florida counties.""",1, fake
299,"Before taking executive action on immigration, President Obama stated 22 times that he does not have the authority to change immigration laws on his own.",1, real
300,Weve got close to 7 million Americans who have access to health care for the first time because of Medicaid expansion.,0, real
301,Macys sent a letter to Rick Perry urging him to veto equal pay bill.,1, fake.
302,Says the U.S. Constitution provides for just compensation when land is taken under eminent domain.,1, real
303,"Says that over the last decade, the states population grew three times faster than the Texas state tax system.",1, fake.
304,Women make 77 cents for every dollar a man earns.,1, fake.
305,We have more coal reserves in the United States than they have oil reserves in Saudi Arabia.,1, fake.
306,"The average homeowner spends more than $2,000 each year on energy costs more than on either real estate taxes or homeowners insurance.",1, fake.
307,Repealing the health care law would save $95 billion in 2016.,0, fake.
308,On same-sex marriage.,0, real.
309,More than 72 percent of children in the African-American community are born out of wedlock.,1, fake.
310,Our African-American communities are absolutely in the worst shape theyve ever been in before. Ever. Ever. Ever.,0, fake
311,"Children born today will carry a $30,000 share of the national debt.",1, fake.
312,"The top man at Yale Law School came out ... with just a raging report about former HP CEO Carly Fiorina,saying she isone of the worst executives in his memory in history running the company.",1, fake
313,Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.,1, fake.
314,Says Rick Perry turned down our invitation to meet President Barack Obama in El Paso.,1, fake.
315,Martin Luther King Jr. was a Republican.,0, fake.
316,Redistribution has never been a characteristic of America.,0, fake.
317,"Sen. Kay Bailey Hutchison's ""concession speech came with less than 20 percent of the precincts having been counted.",1, fake
318,Says a Canadian provincial prime minister came to Ohio for his medical treatment because of the delay in Canadian health care which would have endangered his life.,0, fake.
319,Federal law requires residents to participate in the U.S. governments American Community Survey.,1, fake.
320,We will be the first party to elect a bald guy to governor.,0, fake
321,She stood by our National Guard and Reserve and kept standing till they received health care they deserved.,1, real
322,"Says 7,000 millionaires gamed the system to pay no income taxes.",0, fake.
